8,7,4,4,4,4,4,1,4,2,2
7,7,4,3,1,4,1,4,3,2,4
6,7,2,4,1,3,3,2,3,3,2
5,7,1,2,3,2,4,4,2,1,3
4,7,4,2,2,2,4,4,2,1,2
3,7,3,2,1,4,3,2,2,1,2
2,7,1,3,3,3,1,2,1,1,4
1,7,3,2,4,1,1,1,3,4,2
15,8,2,1,1,4,1,2,2,4,4
14,8,4,4,3,2,3,2,2,4,4
13,8,3,2,3,2,3,3,2,3,2
12,8,3,1,1,3,4,1,2,1,2
11,8,4,4,2,1,1,3,4,2,1
10,8,3,2,3,1,1,4,4,2,4
9,8,1,1,2,3,4,4,2,2,4
8,8,2,3,3,3,3,1,4,2,2
7,8,3,3,3,2,1,4,2,3,2
6,8,4,2,3,3,4,1,2,1,3
5,8,1,4,2,1,4,4,2,1,2
4,8,3,4,1,3,2,4,2,4,2
3,8,2,1,4,2,4,3,1,1,3
2,8,3,2,1,1,1,3,2,4,1
1,8,4,1,1,4,2,1,3,4,3
6,9,2,4,4,4,3,1,4,2,4
5,9,1,4,3,1,2,1,3,4,2
4,9,2,2,1,4,2,1,2,2,3
3,9,1,4,3,1,2,3,3,3,3
2,9,1,1,4,1,3,2,3,1,3
1,9,1,2,1,2,2,4,3,1,3
10,10,1,1,2,3,1,3,1,2,1
9,10,4,4,2,3,4,4,4,4,4
8,10,1,2,4,1,3,2,1,4,4
7,10,4,1,4,1,4,3,1,1,3
6,10,3,3,2,2,1,3,4,3,2
5,10,3,4,2,2,1,2,2,4,4
4,10,1,3,1,2,2,1,2,2,1
3,10,2,2,3,3,4,1,3,2,1
2,10,3,1,3,2,4,3,2,1,4
1,10,3,4,4,2,3,3,2,1,1
10,11,4,2,3,4,1,3,3,3,2
9,11,3,4,2,2,4,2,1,2,2
8,11,3,4,2,3,3,2,1,3,1
7,11,2,3,3,4,1,1,2,4,1
6,11,3,2,3,4,2,3,1,2,2
5,11,1,3,2,3,3,1,2,2,1
4,11,1,1,3,3,4,1,2,1,1
3,11,3,2,2,3,1,4,4,2,3
2,11,1,4,2,4,3,2,2,2,1
1,11,2,2,4,1,3,2,1,2,3
10,12,2,3,4,3,3,2,1,3,4
9,12,1,2,2,1,1,1,3,2,2
8,12,2,4,4,1,1,4,1,1,3
7,12,4,2,1,3,3,2,2,2,4
6,12,3,2,3,2,1,3,4,1,4
5,12,4,4,2,2,3,3,2,2,3
4,12,1,3,3,1,4,3,3,4,4
3,12,4,3,4,2,4,1,3,4,1
2,12,2,2,4,2,4,1,2,3,2
1,12,2,3,3,2,1,4,4,1,2
11,13,2,4,2,1,3,4,2,4,2
