1,SBG Ireland
2,Jackson-Wink MMA
1,Jackson-Wink MMA
3,Alliance MMA
3,AMC Pankration
3,Team Hayastan
3,Werdum Combat Team
3,American Top Team
3,Nova Uniao
3,Team Alpha Male
1,American Top Team
1,American Top Team
1,Jackson-Wink MMA
4,Gracie Technics
4,The MMA Clinic
4,Tapout Training Center
4,Blackzilians
1,Blackzilians
4,Power MMA Team
4,HB Ultimate
4,Allstars Training Center
4,VMAT
4,APAM
4,Wolfslair Academy
1,Alliance MMA
4,Universidade da Luta
4,One Kick's Gym
4,Team Kerr
4,M-1 Global Training Center
4,Xtreme Couture
4,Elite Team
4,Roufusport
1,Xtreme Couture
1,Jackson-Wink MMA
5,Altitude MMA
5,Tata Fight Team
1,Team Alpha Male
5,Twisted Genetiks
5,Team Oyama
5,Serra-Longo Fight Team
1,Alliance MMA
5,Team Irish
5,X-Gym
5,Champion Team
5,The Arena
5,Team Upstate Karate
1,Jackson-Wink MMA
6,Team Quest
1,American Top Team
6,Lion's Den
1,Blackzilians
6,Team Nogueira
6,Canadian Fighting Centre
1,Jackson-Wink MMA
7,Black Sheep MMA
7,Grudge Training Center
7,Gracie Barra Alaska
7,Peresvet FT
7,Elite Performance
7,Pancrase Gym Sweden
7,K Dojo Warrior Tribe
7,Red Spider MMA
1,Alliance MMA
1,American Top Team
7,American Kickboxing Academy
7,Blackline
7,Millennia MMA
1,American Kickboxing Academy
7,CSW
7,MMA Lab
7,Kaizen MMA
1,Jackson-Wink MMA
1,Jackson-Wink MMA
9,American Top Team HD
9,Fightspirit Team
1,Alliance MMA
9,Janjira Muay Thai
1,Team Oyama
9,Fight Ready
1,Jackson-Wink MMA
10,Fight and Fitness
10,Fight Nights Team
10,Krazy Bee
1,Jackson-Wink MMA
1,American Top Team
11,Zingano Brazilian Jiu-Jitsu
11,Cesar Gracie Fight Team
11,Team Hurricane Awesome
11,Country Club
1,Jackson-Wink MMA
12,Team Link
1,Jackson-Wink MMA
13,Glendale Fighting Club
13,London Shootfighters
1,American Top Team
13,Golden Glory
13,Boxing Squad
1,American Top Team
13,Gracie Barra Combat Team
1,American Top Team
13,Next Generation
13,Gracie Barra BH
1,Nova Uniao
1,Team Oyama
13,Team Takedown
13,Reign MMA
13,Team Jorge Gurgel
1,American Top Team
13,Babalu's Iron Gym
1,Millennia MMA
13,Tristar Gym
1,Jackson-Wink MMA
14,Finney's MMA
14,Team Mayhem
14,Dethrone Base Camp
14,Capital City Fighting Alliance
1,Team Quest
1,Xtreme Couture
14,808 Top Team
14,Team Spratt
14,Integrated Fighting Academy
14,Berger MMA
1,Alliance MMA
14,Victory MMA
1,Blackzilians
1,808 Top Team
1,American Kickboxing Academy
1,Tristar Gym
1,Blackzilians
14,Gladiators Academy
14,Cesar Gracie Jiu-Jitsu
1,Jackson-Wink MMA
15,The Jungle MMA
15,Carlson Gracie Jiu-Jitsu
15,Rivera Athletic Center
15,Higher Level MMA
15,Team Taisumov
15,Korean Zombie MMA
15,MMA Masters
15,Florian Martial Arts Center
15,Ricardo Almeida Jiu-Jitsu
1,Team Hayastan
15,Team Tompkins
15,Gym01
15,Neo Judo Academy
15,Warrior Camp
15,Duneland Vale Tudo
1,American Top Team
15,Gracie Jiu-Jitsu
1,Roufusport
15,The Pit Elevated Fight Team
15,Academy of Combat Arts
15,Team Hakuilua
1,American Top Team
1,Team Alpha Male
15,South Shore Sport Fighting
15,Renzo Gracie Philly
1,Jackson-Wink MMA
16,T-Blood
1,Nova Uniao
1,American Top Team
1,Alliance MMA
16,Michigan Top Team
1,X-Gym
16,Skrap Pack
16,Team Kaobon
1,American Kickboxing Academy
16,BJ Penn's MMA
1,SBG Ireland
16,Finnfighters Gym
16,Team Tiger Schulmann
16,Strong Style Fight Team
16,Yoshida Dojo
16,Xian Sports University
16,Northeast Jiu-Jitsu
16,Mad House Gym
16,The Academy
16,Dinky Ninjas
1,Team Alpha Male
16,4oz. Fight Club
16,Soul Fighters BJJ
16,Long Island MMA
16,Marajo Brothers Team
16,Mutant MMA
16,Team Raging Warriors
16,Black House
1,Team Takedown
1,Team Alpha Male
1,The Pit Elevated Fight Team
16,Power MMA
16,Macaco Gold Team
16,Ambition Training Academy
1,Jackson-Wink MMA
17,Juggernaut Fight Club
1,American Top Team
17,Next Generation NI
17,Combative Sports Center
17,Spirit Dojo
17,Team Tavares
1,Blackzilians
17,Elevation Fight Team
17,Team Quannum
17,NEVT
17,Berserkers Team
1,MMA Lab
17,Team Punishment
1,Tristar Gym
1,Team Alpha Male
17,Team Ryano MMA
1,SBG Ireland
17,The Pit
17,Colorado Stars
1,Xtreme Couture
1,Yoshida Dojo
17,Cro Cop Squad Gym
17,Ruas Vale Tudo
17,The Alliance
1,CSW
17,Mario Sukata Team
1,Lion's Den
1,Strong Style Fight Team
1,Reign MMA
17,AKA Thailand
17,Team Lloyd Irvin
1,Alliance MMA
17,Astra Fight Team
17,J-Sect MMA
17,Dragon Fight
17,Knoxville MMA
17,Gracie Fusion
1,American Top Team
1,Team Quest
17,American Fight Club
17,Trials MMA and Fitness
1,MMA Lab
1,Team Nogueira
17,Legends MMA
17,Apex MMA
17,Gracie Barra Katy
1,Alliance MMA
1,MMA Lab
1,K Dojo Warrior Tribe
1,Black House
17,H2O MMA
17,Renzo Gracie Jiu-Jitsu
1,Power MMA
1,Serra-Longo Fight Team
1,Team Nogueira
1,American Top Team
17,The MMA Lab
17,Red Devil International
17,American Top Team Orlando
17,BTT Canada
1,Blackzilians
17,Evolucao Thai
17,Team Extreme
1,Jackson-Wink MMA
1,Integrated Fighting Academy
18,High Altitude Martial Arts
18,Wajutsu Keishukai Tokyo
18,Iron Academy
18,Las Vegas Combat Club
1,Jackson-Wink MMA
19,D-One Gym
19,Wand Fight Team
1,Lion's Den
1,Team Quest
19,Throwdown
19,Miletich Martial Arts
19,Sacramaneto BJJ
19,Chokushinkai
1,American Top Team
1,Elevation Fight Team
1,Blackzilians
19,Yakima MMA
19,Syndicate MMA
1,Team Nogueira
1,Elite Performance
19,Sinosic
19,Red Schafer MMA
1,American Top Team
1,Elite Performance
1,Xtreme Couture
1,Lion's Den
19,Tsunami Gym
1,MMA Masters
1,Allstars Training Center
1,Team Kaobon
1,Cesar Gracie Fight Team
1,Grudge Training Center
19,Joe Stevenson's Cobra Kai
1,Team Tiger Schulmann
19,Range
19,Pardoel Sports
1,American Top Team
1,American Top Team
21,The Beast Academy
1,American Top Team
1,American Top Team
1,Team Quest
1,Gracie Technics
1,Next Generation
1,American Kickboxing Academy
1,Blackzilians
23,Pellegrino MMA
23,Kugayama Rascal
1,Grudge Training Center
23,Busan Team M.A.D.
23,Lauzon MMA
23,Minnesota Martial Arts Academy
23,Sparta Indy
23,Elite Mixed Fighters
1,Team Jorge Gurgel
1,Victory MMA
1,MMA Lab
23,Team Curran
23,Parana Vale Tudo
23,Team Death Clutch
23,Arizona Combat Sports
23,Team Voodoo
23,Mighty Bulls Gdynia
23,Sports Lab
23,AMA Fight Club
23,GriffonRawl Thaiboxing & MMA Academy
23,Gracie Humaita
23,Wajyutsu Keisyukai RJW
1,American Top Team
1,Tristar Gym
1,The Arena
24,Team Renzo Gracie
1,Renzo Gracie Philly
24,Chute Boxe
1,Team Tompkins
24,Brazos Valley MMA
24,Mori Dojo
24,R-1 MMA
24,Team Pain and Suffering
24,Haleo Top Team
24,Evolve MMA
1,Team Curran
1,Grudge Training Center
1,AMC Pankration
24,Cave
1,Nova Uniao
24,Carlson Gracie Team
24,Rio Fighters
1,Tata Fight Team
1,Nova Uniao
1,Blackzilians
24,Central Valley Combat Academy
24,Team Tooke
24,X3 Sports
24,Premier Combat Center
1,Black House
24,TP Fight Team
24,Nexus
24,Entram Gym
1,Alliance MMA
1,Serra-Longo Fight Team
24,Hawaii Elite MMA
24,Mark Robinson MMA
24,Fit NHB
1,Team Nogueira
1,Miletich Martial Arts
1,Jackson-Wink MMA
24,Sikjitsu
1,Team Alpha Male
24,Team Xplode MMA
1,SikJitsu
1,MMA Lab
1,American Top Team
1,Busan Team M.A.D.
25,Pinnacle Fighting Systems
1,Chute Boxe
25,GBG MMA
25,Kings MMA
25,Sinosic Perosh Martial Arts
25,Revolution Fight Team
25,USCAA
25,Hardcore Gym
1,Tristar Gym
1,American Top Team
1,Power MMA Team
1,American Top Team
27,Team Peak Performance
1,Power MMA Team
27,CNY MMA
1,Team Tiger Schulmann
27,Team IBJJA
1,Allstars Training Center
27,AKS Chorzow
27,Champions Gym
27,Complete Fitness and Martial Arts
1,Power MMA
1,Minnesota Martial Arts Academy
27,Miletich Fighting Systems
1,Iron Academy
27,K2L Grindhouse
1,Academy of Combat Arts
27,Dynamix MMA
27,Superior Health Club
27,Cabbage MMA
27,ZT Fight Skool
1,American Top Team
1,American Top Team
29,Titans MMA
1,Blackzilians
1,Blackzilians
1,Elite Mixed Fighters
29,Hammer House
29,Pure Fitness
1,Alliance MMA
29,Gladiators Training Academy
29,Team Machine
1,Tristar Gym
29,Coalizao Fight Team
1,MMA Lab
29,Adrenaline Training Center
1,Team Extreme
29,Alliance Team
1,Jackson-Wink MMA
29,Machine MMA
1,Cesar Gracie Fight Team
1,Hammer House
29,Integrated MMA
29,Absolute Combat Alliance
29,American Top Team Evolution
1,Throwdown
29,Pro Buhawe
1,London Shootfighters
1,Elite Performance
1,Team Jorge Gurgel
29,Frontline Academy
1,Jackson-Wink MMA
1,Dragon Fight
1,American Top Team
30,Mjolnir
1,Serra-Longo Fight Team
1,The Arena
30,MMA Development
30,Team Supreme
30,Team Wiet
1,London Shootfighters
30,Bushido Academie
30,Team Rough House
1,American Kickboxing Academy
30,American Top Team Atlanta
30,Straight Rootless Fight Team
30,Team Victory
30,Gracie Barcelona
30,Alliance Jiu-Jitsu
1,Alliance MMA
30,Rumble Sports
30,UTC Birmingham
1,Legends MMA
30,Young Tigers
30,Prater MMA
30,AVT Fight Team
30,Keddles Gym
1,Team Jorge Gurgel
30,Team Topfighter
1,SBG Ireland
1,MMA Lab
30,Team Schrijber
30,Peak MMA
1,Team Extreme
30,Champion's Creed MMA
1,Allstars Training Center
1,Syndicate MMA
30,Ghost Dog
1,Power MMA Team
30,Tiger Muay Thai
1,American Top Team
31,Pyranha MMA Offenbach
1,CSW
31,Disorderly Conduct
1,The Pit Elevated Fight Team
1,Duneland Vale Tudo
1,The Pit Elevated Fight Team
1,Strong Style Fight Team
1,Minnesota Martial Arts Academy
1,Minnesota Martial Arts Academy
31,Team Scrub
31,USA Stars
1,Grudge Training Center
1,Tiger Muay Thai
31,Roundkick Gym
31,Brausa Academy
31,Meat Truck Inc.
31,Big Daddy Fight Team
31,Universal Grappling Academy
31,S.K.S. Fight Team
31,MPF Training Systems
31,Wai Kru MMA
1,Golden Glory
1,Renzo Gracie Jiu-Jitsu
31,Lion's Den Dallas
1,Alliance MMA
1,Champion Team
1,Team Hurricane Awesome
1,The Pit Elevated Fight Team
1,Jackson-Wink MMA
1,American Top Team
32,Team Freedom
32,Lions Den Scottsdale
32,OCS Jiu-Jitsu
1,Allstars Training Center
32,Fitness Fight Factory
32,Renyi Fight Camp
1,Gladiators Training Academy
1,Macaco Gold Team
1,Chute Boxe
1,Reign MMA
1,Team Nogueira
1,BJ Penn's MMA
32,Menne Combat Academy
1,Xtreme Couture
32,Mach Dojo
32,CW Combat Sports
1,Miletich Martial Arts
1,Entram Gym
32,Damage Incorporated
1,Syndicate MMA
32,Warrior MMA Fight Team
32,Victory Athletics
32,Shamrock 2000
1,Grudge Training Center
1,Elite Performance
32,Flawless MMA
1,Premier Combat Center
1,Ruas Vale Tudo
32,Freelance
1,Team Oyama
1,Roufusport
32,Team Frye
1,American Kickboxing Academy
32,Alliance-Square
1,Tiger Muay Thai
32,Kuma Gym
32,PKG
32,Team Octopus
32,Faito Tamashii Combat Club
1,Tristar Gym
32,Silverback Fight Club
32,Moti Horenstein MMA
32,Disciple MMA
1,SBG Ireland
32,RNC Sport Club
1,Xtreme Couture
1,Evolucao Thai
1,MMA Lab
32,KO Evolution
32,Atherton Submission Wrestling
32,Canadian Martial Arts Centre
32,Rangel Farias Team
32,PMA Super Martial Arts Centre
32,Bruckmann Martial Arts
1,Fit NHB
1,AKA Thailand
32,Unity Gym
1,Reign MMA
1,Reign MMA
32,PANCRASEism
1,Jackson-Wink MMA
32,Mohler MMA
1,Team Nogueira
1,Team Hayastan
1,Team Takedown
1,Strong Style Fight Team
1,Roufusport
32,Valdosta Martial Arts Academy
32,Gibson Kickboxing & Pankration
1,Freelance
1,TriStar Gym
32,Team Four Corners
1,Skrap Pack
1,Team Tiger Schulmann
32,Fight Club Berkut
1,Wand Fight Team
1,Serra-Longo Fight Team
32,Mass BJJ
32,Daigaku Karate Kai London
1,Hammer House
1,Team Nogueira
1,Team Death Clutch
1,AMA Fight Club
32,Countershot MMA
32,MMAGOLD Fight Team
32,Bodyshop Fitness Team
32,Westside Fight Team
32,Ring Demon Jiu-Jitsu
1,Renzo Gracie Jiu-Jitsu
32,Nick Catone MMA Academy
1,Roufusport
1,Tsunami Gym
32,Korean Top Team
32,10th Planet Jiu-Jitsu
1,Tristar Gym
32,Militech Fighting Systems
32,Team Sityodtong
1,Victory Athletics
1,Team Kaobon
32,Glory MMA and Fitness
1,Miletich Fighting Systems
1,Pellegrino MMA
32,Team Conquest
32,Silverbacks Vale Tudo
1,Korean Top Team
1,Nova Uniao
32,Kong Submission Academy
32,Colorado Fight Factory
1,Adrenaline Training Center
1,Grudge Training Center
1,Jackson-Wink MMA
32,Tap Star
1,Sports Lab
1,Disorderly Conduct
32,Pejor
32,OAMA
32,All In MMA
1,Team Kaobon
32,The Kennel Fight Club
1,Victory MMA
1,Fight Ready
1,Reign MMA
1,Entram Gym
32,Gorec
32,Pitbull Brothers
1,Canadian Martial Arts Centre
1,Jackson-Wink MMA
32,Team Vision
32,Team R.O.C. Charlotte
1,Absolute Combat Alliance
1,All In MMA
1,Mass BJJ
32,Tough as Nails MMA
32,Blackzillians
32,Team James Clingerman
32,American Top Team OKC
1,American Top Team
1,CSW
33,Team Destruction
33,Octagon MMA
33,Bellmore Kickboxing Academy
1,Grudge Training Center
1,Millennia MMA
33,Team Legion
1,Team Nogueira
1,Syndicate MMA
1,Entram Gym
1,American Top Team
1,American Top Team
35,Shield Systems
1,Team Curran
35,Toshido Mixed Martial Arts
1,Victory MMA
1,Lion's Den Dallas
35,Zen Jiu-Jitsu
1,The Pit Elevated Fight Team
1,Champion's Creed MMA
35,Joker's MMA
1,Jackson-Wink MMA
35,University of Fighting
1,Team Jorge Gurgel
35,Team Bison
35,War Machine
35,CM System
1,American Kickboxing Academy
35,K-Taro Dojo
1,Power MMA Team
1,Tristar Gym
1,Team Lloyd Irvin
1,Tata Fight Team
1,Octagon MMA
1,Busan Team M.A.D.
1,Pinnacle Fighting Systems
1,Team Tompkins
1,BJ Penn's MMA
35,Lightning MMA
1,Miletich Martial Arts
1,Champion Team
35,KnuckleHeadz Boxing
1,Team Curran
1,Champion's Creed MMA
1,Tiger Muay Thai
35,Adrenaline MMA
1,Janjira Muay Thai
35,Team Bombsquad
35,Midwest Training Center
35,Luta Elite MMA
35,Des Moines MMA Academy
1,Tristar Gym
35,FightFit Militia
35,Cobra Kai MMA Dojo
1,Macaco Gold Team
1,Jackson-Wink MMA
35,Total MMA Studios
35,Minnesota Fight Factory
35,KHK MMA Team
35,Philadelphia Fight Factory
35,Uruno Dojo
35,Gumi MMA
35,Pacific Martial Arts
35,Beverly Hills Jiu-Jitsu Club
35,Last Stand Fight Team
35,Wajutsu Keishukai Suruga
35,Kimura Nova Uniao
1,Dragon Fight
1,CM System
35,Ronin MMA
1,Team Tavares
35,Des Moines Jiu-Jitsu
1,Toshido Mixed Martial Arts
1,Team Quest
35,Independent
1,Team Oyama
1,American Top Team
1,Team Rough House
1,Reign MMA
1,Millennia MMA
36,Cambridge Martial Arts
1,The Jungle MMA
1,Grudge Training Center
1,Nova Uniao
36,Constrictor Team
1,Team Link
36,Renovacao Fight Team
1,Roufusport
1,Minnesota Martial Arts Academy
1,Arizona Combat Sports
1,Evolucao Thai
1,Chute Boxe
1,American Top Team
1,American Kickboxing Academy
1,Champion Team
1,Wand Fight Team
1,American Top Team
1,Evolucao Thai
1,GriffonRawl Thaiboxing & MMA Academy
1,Independent
1,Gracie Barra Alaska
38,011 MMA Team
1,Team Nogueira
38,Caveira Team
38,Nick's Fight Club
38,Whitsunday Martial Arts
38,Lakay MMA
1,Team Xplode MMA
38,Gracie Barra Lodz
38,Kickass MMA
1,Elite Team
1,Team Tavares
