3,29688,98
2,27944,35
3,75125,179
8,12107,20
7,45452,123
6,73073,33
4,8390,173
8,2245,151
10,11506,172
7,38393,185
8,50529,2
6,21618,0
2,25097,129
10,38671,80
10,17052,126
5,162,72
8,156,27
0,10200,17
5,22858,98
10,10196,58
4,26162,8
7,435,121
6,7513,162
10,348,179
8,4886,183
3,5707,119
8,3014,88
5,71,139
3,60940,127
7,166,92
5,61266,64
1,26627,141
1,26252,108
7,15105,139
10,75564,36
8,110143,68
9,8847,36
2,16852,3
9,5001,91
10,42804,100
2,19726,175
7,19544,134
3,8394,57
1,17272,173
8,17389,74
7,59608,196
9,2638,51
0,195,30
3,22388,98
10,4,97
0,17662,6
3,1440,115
5,390,13
8,6765,199
7,19599,185
8,2352,88
5,78628,189
4,26808,171
0,202,189
2,40207,122
3,2027,82
2,33084,4
4,495,103
9,262,131
6,3619,136
2,21219,56
1,4371,171
3,16558,111
5,10226,147
9,20548,45
10,31151,2
7,58947,82
6,8184,174
9,14185,80
5,56035,23
6,12179,34
9,7540,120
9,5286,106
3,125297,46
3,11660,144
1,16467,23
7,81198,183
6,1354,130
5,12158,101
7,11743,197
8,33932,169
2,22071,113
0,67007,81
9,10249,186
2,461,44
7,7306,91
0,270,137
8,16785,11
3,1767,120
6,10668,49
5,2873,153
6,3363,28
6,12354,66
5,207,119
3,21851,130
0,5358,74
8,73710,70
9,48404,9
6,63410,73
6,24539,179
9,13068,158
2,14310,146
6,15174,91
5,274,16
10,51345,111
7,14018,11
5,41523,15
6,15156,5
10,7798,95
1,9418,127
10,2578,176
10,276,70
10,311,46
10,370,134
10,3195,63
2,267,152
7,1303,114
4,6258,169
3,338,71
9,13093,123
4,524,83
5,278,137
1,903,50
7,5735,75
1,1804,25
10,536,63
9,10093,108
10,2738,199
0,61,51
4,2712,83
8,59838,9
10,33161,49
9,36155,20
8,32051,25
7,8021,5
8,14204,79
4,5185,58
7,4728,74
6,8753,120
7,13005,90
4,22173,113
1,22094,152
7,15058,198
2,511,5
8,23390,81
3,22537,106
5,35448,59
10,27738,189
5,17758,150
0,26070,36
0,20416,120
0,68205,77
1,7632,145
10,1326,68
5,19789,74
4,71116,108
7,11884,155
5,53717,26
0,25981,101
9,12236,57
3,14028,109
6,15835,74
6,1307,12
0,73700,108
4,5639,100
2,40954,20
9,50381,160
6,36618,123
8,83505,139
8,48046,175
4,28788,68
5,69083,163
0,94103,0
0,99019,15
1,21564,184
5,160663,92
9,58065,75
9,16129,180
2,126881,158
8,55503,13
7,65310,98
1,47227,0
0,58385,108
10,78465,97
8,73756,4
7,30300,167
5,54054,40
10,2815,126
3,69087,167
1,13133,42
2,47549,110
2,57214,0
7,4270,176
8,5432,67
7,17129,147
4,30021,107
9,3071,78
3,34623,93
2,27440,155
10,2765,54
9,158,94
7,3500,68
6,16830,78
2,14062,111
1,63616,29
4,192,135
1,217,46
8,4397,170
9,6943,67
4,2326,1
2,208,36
3,175,16
6,272,47
8,1950,98
1,201,125
1,174,101
10,72981,170
5,9680,40
10,81956,118
7,27802,103
7,117927,5
4,339,178
7,7110,99
5,38842,152
8,13976,195
5,16426,167
8,17010,51
9,8,99
10,6561,17
4,51471,97
0,2270,127
8,8654,195
6,15932,165
2,130911,100
4,40356,197
4,41586,169
1,10846,148
4,24121,174
8,86241,33
8,13968,175
3,34236,130
8,1305,169
2,1356,14
5,60762,39
9,74975,144
10,7466,182
10,10339,31
6,6612,6
8,49519,197
2,31103,98
0,392,20
7,14829,97
1,269,102
9,1712,86
8,5569,3
3,7202,156
1,13,19
8,11895,138
9,153,143
0,209,89
8,157,156
1,59,33
5,323,23
4,6445,92
0,11453,187
6,78898,49
10,12855,96
2,22298,150
4,5453,74
4,71442,46
2,10709,80
2,16161,24
2,1927,191
1,9491,90
9,13275,10
8,5366,142
3,3660,187
5,84342,40
0,296,128
1,15574,181
1,17460,147
8,18921,19
10,18253,182
4,9179,57
8,347,12
3,65,57
2,45230,43
1,3599,99
4,33,5
10,7431,15
4,1301,10
7,52,181
10,72046,57
8,18168,51
4,2383,178
3,41247,39
5,64,152
0,2394,18
1,68788,26
7,4153,172
4,425,78
8,12212,180
5,16374,117
6,4923,128
10,277,159
8,20744,83
8,4833,19
4,11481,73
5,17016,118
6,17915,19
8,42432,196
10,100715,50
5,31239,151
10,7168,95
3,1046,96
1,53375,35
10,6246,30
8,37260,40
9,8321,144
6,2427,145
0,2235,133
9,5998,18
10,33532,30
8,6727,48
10,7415,161
7,81634,178
2,87865,186
1,9901,103
9,29111,73
2,55070,10
3,14539,25
1,5739,47
10,12073,102
4,19521,87
8,3496,8
0,101,138
3,45430,98
0,12078,7
4,3217,1
7,1424,175
6,4481,59
9,115911,98
0,23156,7
3,22400,165
1,17004,132
2,63284,59
8,43866,199
7,14173,51
10,36889,48
1,21798,70
8,122139,151
4,6120,71
3,16777,36
3,66313,184
5,64792,164
7,75842,185
9,11281,76
7,15009,41
10,188,144
6,23091,75
5,46224,91
10,51225,2
5,21339,69
10,50883,30
2,22556,1
2,7688,162
6,24067,146
2,27953,139
0,100031,172
2,21446,170
3,42309,40
7,281,114
2,4388,62
7,4399,134
10,3525,48
9,22732,106
6,11292,62
4,21044,62
5,7621,176
5,80,152
5,22350,20
7,16470,136
1,14210,35
4,14121,157
10,26160,200
0,7780,169
5,2386,185
1,4391,197
0,28017,23
0,19478,141
6,4582,132
6,239,47
9,9863,86
7,10669,119
1,15949,144
0,7652,132
0,2829,95
3,54543,157
2,46033,85
9,25412,66
5,15907,192
4,66474,105
4,120691,13
2,4114,10
10,136,116
0,4389,70
1,2304,20
8,223,156
0,210,14
1,37402,73
2,22218,111
2,45108,8
10,56579,36
10,1061,75
3,142,129
10,2646,128
2,242,9
2,46542,88
5,2713,125
2,8183,5
10,21971,145
9,42605,133
6,34072,83
0,9511,36
8,16704,192
10,12913,93
9,37452,181
3,19977,40
7,15179,147
2,51163,150
2,42310,169
1,25246,100
2,66410,92
4,25784,44
7,1884,180
9,6326,125
4,31,149
10,25830,189
3,4038,51
9,10629,168
8,1542,60
8,2886,172
10,10126,154
6,65128,146
7,11729,67
8,10543,170
0,10047,163
10,63608,133
10,62665,39
2,28041,94
10,64716,31
3,6767,81
3,40523,123
8,37528,37
10,4025,88
5,42901,103
10,64373,95
7,36924,136
10,15063,98
6,43439,92
4,228,152
8,6748,132
7,20812,95
9,4577,1
8,17903,178
8,13453,55
10,3015,48
5,31496,104
7,43445,66
7,12116,25
6,29470,176
6,34124,185
8,2095,142
4,10003,155
8,4411,158
9,7124,134
1,4556,98
9,725,52
3,53,86
6,20512,10
4,22111,109
5,28038,180
4,10334,191
7,397,1
7,129,8
4,265,186
4,273,147
6,34408,173
2,11798,1
7,467,174
2,11,91
0,14,46
4,9626,81
6,65456,128
4,36403,192
2,10003,153
2,4824,198
7,344,66
1,2651,155
6,720,147
7,41906,7
5,69406,106
6,19717,134
4,6850,105
8,222,109
2,1015,165
8,87865,156
2,7780,108
0,16286,34
3,4095,45
7,245,169
0,5344,178
